Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
42892,207.1038,207.1055,0.00163,0.42 LSB,PASS
42893,207.1063,207.1055,0.000784,0.20 LSB,PASS
42894,207.1087,207.1094,0.000708,0.18 LSB,PASS
42895,207.1111,207.1094,0.001706,0.44 LSB,PASS
42896,207.1135,207.1133,0.000214,0.05 LSB,PASS
42897,207.1159,207.1172,0.001278,0.33 LSB,PASS
42898,207.1183,207.1172,0.001136,0.29 LSB,PASS
42899,207.1207,207.1211,0.000356,0.09 LSB,PASS
42900,207.1232,207.125,0.001848,0.47 LSB,PASS
42901,207.1256,207.125,0.000566,0.14 LSB,PASS
42902,207.128,207.1289,0.000926,0.24 LSB,PASS
42903,207.1304,207.1289,0.001487,0.38 LSB,PASS
42904,207.1328,207.1328,0.000005,0.00 LSB,PASS
42905,207.1352,207.1367,0.001497,0.38 LSB,PASS
42906,207.1376,207.1367,0.000917,0.23 LSB,PASS
42907,207.14,207.1406,0.000576,0.15 LSB,PASS
42908,207.1425,207.1445,0.002068,0.53 LSB,PASS
42909,207.1449,207.1445,0.000346,0.09 LSB,PASS
42910,207.1473,207.1484,0.001147,0.29 LSB,PASS
42911,207.1497,207.1484,0.001267,0.32 LSB,PASS
42912,207.1521,207.1523,0.000226,0.06 LSB,PASS
42913,207.1545,207.1562,0.001718,0.44 LSB,PASS
42914,207.1569,207.1562,0.000695,0.18 LSB,PASS
42915,207.1594,207.1602,0.000797,0.20 LSB,PASS
42916,207.1618,207.1602,0.001616,0.41 LSB,PASS
42917,207.1642,207.1641,0.000124,0.03 LSB,PASS
42918,207.1666,207.168,0.001369,0.35 LSB,PASS
42919,207.169,207.168,0.001044,0.27 LSB,PASS
42920,207.1714,207.1719,0.000448,0.11 LSB,PASS
42921,207.1738,207.1758,0.001941,0.50 LSB,PASS
42922,207.1763,207.1758,0.000472,0.12 LSB,PASS
42923,207.1787,207.1797,0.001021,0.26 LSB,PASS
42924,207.1811,207.1797,0.001393,0.36 LSB,PASS
42925,207.1835,207.1836,0.0001,0.03 LSB,PASS
42926,207.1859,207.1875,0.001593,0.41 LSB,PASS
42927,207.1883,207.1875,0.00082,0.21 LSB,PASS
42928,207.1907,207.1914,0.000673,0.17 LSB,PASS
42929,207.1931,207.1953,0.002166,0.55 LSB,PASS
