Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
1,1,1,0,0.00 LSB,PASS
2,1.4142,1.4141,0.000151,0.04 LSB,PASS
3,1.7321,1.7305,0.001582,0.41 LSB,PASS
4,2,2,0,0.00 LSB,PASS
5,2.2361,2.2344,0.001693,0.43 LSB,PASS
6,2.4495,2.4492,0.000271,0.07 LSB,PASS
7,2.6458,2.6445,0.00122,0.31 LSB,PASS
8,2.8284,2.8281,0.000302,0.08 LSB,PASS
9,3,3,0,0.00 LSB,PASS
10,3.1623,3.1641,0.001785,0.46 LSB,PASS
11,3.3166,3.3164,0.000219,0.06 LSB,PASS
12,3.4641,3.4648,0.000742,0.19 LSB,PASS
13,3.6056,3.6055,0.000083,0.02 LSB,PASS
14,3.7417,3.7422,0.00053,0.14 LSB,PASS
15,3.873,3.8711,0.00189,0.48 LSB,PASS
16,4,4,0,0.00 LSB,PASS
17,4.1231,4.125,0.001894,0.48 LSB,PASS
18,4.2426,4.2422,0.000453,0.12 LSB,PASS
19,4.3589,4.3594,0.000476,0.12 LSB,PASS
20,4.4721,4.4727,0.00052,0.13 LSB,PASS
21,4.5826,4.582,0.000544,0.14 LSB,PASS
22,4.6904,4.6914,0.00099,0.25 LSB,PASS
23,4.7958,4.7969,0.001043,0.27 LSB,PASS
24,4.899,4.8984,0.000542,0.14 LSB,PASS
25,5,5,0,0.00 LSB,PASS
26,5.099,5.0977,0.001363,0.35 LSB,PASS
27,5.1962,5.1953,0.00084,0.22 LSB,PASS
28,5.2915,5.293,0.001466,0.38 LSB,PASS
29,5.3852,5.3867,0.001554,0.40 LSB,PASS
30,5.4772,5.4766,0.000663,0.17 LSB,PASS
31,5.5678,5.5664,0.001358,0.35 LSB,PASS
32,5.6569,5.6562,0.000604,0.15 LSB,PASS
33,5.7446,5.7461,0.001531,0.39 LSB,PASS
34,5.831,5.832,0.001079,0.28 LSB,PASS
35,5.9161,5.918,0.001889,0.48 LSB,PASS
36,6,6,0,0.00 LSB,PASS
37,6.0828,6.082,0.000731,0.19 LSB,PASS
38,6.1644,6.1641,0.000352,0.09 LSB,PASS
39,6.245,6.2461,0.001096,0.28 LSB,PASS
40,6.3246,6.3242,0.000337,0.09 LSB,PASS
41,6.4031,6.4023,0.00078,0.20 LSB,PASS
42,6.4807,6.4805,0.000272,0.07 LSB,PASS
43,6.5574,6.5586,0.001155,0.30 LSB,PASS
44,6.6332,6.6328,0.000437,0.11 LSB,PASS
45,6.7082,6.707,0.001173,0.30 LSB,PASS
46,6.7823,6.7812,0.00108,0.28 LSB,PASS
47,6.8557,6.8555,0.000186,0.05 LSB,PASS
48,6.9282,6.9297,0.001484,0.38 LSB,PASS
49,7,7,0,0.00 LSB,PASS
50,7.0711,7.0703,0.000755,0.19 LSB,PASS
51,7.1414,7.1406,0.000803,0.21 LSB,PASS
52,7.2111,7.2109,0.000165,0.04 LSB,PASS
53,7.2801,7.2812,0.00114,0.29 LSB,PASS
54,7.3485,7.3477,0.000813,0.21 LSB,PASS
55,7.4162,7.418,0.00177,0.45 LSB,PASS
56,7.4833,7.4844,0.00106,0.27 LSB,PASS
57,7.5498,7.5508,0.000947,0.24 LSB,PASS
58,7.6158,7.6172,0.001414,0.36 LSB,PASS
59,7.6811,7.6797,0.001458,0.37 LSB,PASS
60,7.746,7.7461,0.000127,0.03 LSB,PASS
61,7.8102,7.8086,0.001656,0.42 LSB,PASS
62,7.874,7.875,0.000992,0.25 LSB,PASS
63,7.9373,7.9375,0.000246,0.06 LSB,PASS
64,8,8,0,0.00 LSB,PASS
65,8.0623,8.0625,0.000242,0.06 LSB,PASS
66,8.124,8.125,0.000962,0.25 LSB,PASS
67,8.1854,8.1836,0.001759,0.45 LSB,PASS
68,8.2462,8.2461,0.000118,0.03 LSB,PASS
69,8.3066,8.3047,0.001936,0.50 LSB,PASS
70,8.3666,8.3672,0.000587,0.15 LSB,PASS
71,8.4261,8.4258,0.000369,0.09 LSB,PASS
72,8.4853,8.4844,0.000906,0.23 LSB,PASS
73,8.544,8.543,0.001035,0.26 LSB,PASS
74,8.6023,8.6016,0.000763,0.20 LSB,PASS
75,8.6603,8.6602,0.000098,0.03 LSB,PASS
76,8.7178,8.7188,0.000952,0.24 LSB,PASS
77,8.775,8.7734,0.001527,0.39 LSB,PASS
78,8.8318,8.832,0.00027,0.07 LSB,PASS
79,8.8882,8.8867,0.001476,0.38 LSB,PASS
80,8.9443,8.9453,0.001041,0.27 LSB,PASS
81,9,9,0,0.00 LSB,PASS
82,9.0554,9.0547,0.000698,0.18 LSB,PASS
83,9.1104,9.1094,0.001059,0.27 LSB,PASS
84,9.1652,9.1641,0.001089,0.28 LSB,PASS
85,9.2195,9.2188,0.000794,0.20 LSB,PASS
86,9.2736,9.2734,0.000181,0.05 LSB,PASS
87,9.3274,9.3281,0.000746,0.19 LSB,PASS
88,9.3808,9.3789,0.001925,0.49 LSB,PASS
89,9.434,9.4336,0.000387,0.10 LSB,PASS
90,9.4868,9.4883,0.001448,0.37 LSB,PASS
91,9.5394,9.5391,0.00033,0.08 LSB,PASS
92,9.5917,9.5898,0.001819,0.47 LSB,PASS
93,9.6437,9.6445,0.00088,0.23 LSB,PASS
94,9.6954,9.6953,0.000047,0.01 LSB,PASS
95,9.7468,9.7461,0.000701,0.18 LSB,PASS
96,9.798,9.7969,0.001084,0.28 LSB,PASS
97,9.8489,9.8477,0.001202,0.31 LSB,PASS
98,9.8995,9.8984,0.001057,0.27 LSB,PASS
99,9.9499,9.9492,0.000656,0.17 LSB,PASS
100,10,10,0,0.00 LSB,PASS
101,10.0499,10.0508,0.000906,0.23 LSB,PASS
102,10.0995,10.0977,0.001849,0.47 LSB,PASS
103,10.1489,10.1484,0.000454,0.12 LSB,PASS
104,10.198,10.1992,0.00118,0.30 LSB,PASS
105,10.247,10.2461,0.000857,0.22 LSB,PASS
106,10.2956,10.2969,0.001245,0.32 LSB,PASS
107,10.3441,10.3438,0.00033,0.08 LSB,PASS
108,10.3923,10.3906,0.00168,0.43 LSB,PASS
109,10.4403,10.4414,0.0011,0.28 LSB,PASS
110,10.4881,10.4883,0.000193,0.05 LSB,PASS
111,10.5357,10.5352,0.000498,0.13 LSB,PASS
112,10.583,10.582,0.000974,0.25 LSB,PASS
113,10.6301,10.6289,0.00124,0.32 LSB,PASS
114,10.6771,10.6758,0.001297,0.33 LSB,PASS
115,10.7238,10.7227,0.001149,0.29 LSB,PASS
116,10.7703,10.7695,0.000798,0.20 LSB,PASS
117,10.8167,10.8164,0.000248,0.06 LSB,PASS
118,10.8628,10.8633,0.000501,0.13 LSB,PASS
119,10.9087,10.9102,0.001444,0.37 LSB,PASS
120,10.9545,10.9531,0.001326,0.34 LSB,PASS
121,11,11,0,0.00 LSB,PASS
122,11.0454,11.0469,0.001514,0.39 LSB,PASS
123,11.0905,11.0898,0.000693,0.18 LSB,PASS
124,11.1355,11.1367,0.00119,0.30 LSB,PASS
125,11.1803,11.1797,0.000652,0.17 LSB,PASS
126,11.225,11.2266,0.00159,0.41 LSB,PASS
127,11.2694,11.2695,0.000104,0.03 LSB,PASS
128,11.3137,11.3125,0.001208,0.31 LSB,PASS
129,11.3578,11.3594,0.001558,0.40 LSB,PASS
130,11.4018,11.4023,0.000589,0.15 LSB,PASS
131,11.4455,11.4453,0.000211,0.05 LSB,PASS
132,11.4891,11.4883,0.000844,0.22 LSB,PASS
133,11.5326,11.5312,0.001313,0.34 LSB,PASS
134,11.5758,11.5742,0.001618,0.41 LSB,PASS
135,11.619,11.6172,0.001763,0.45 LSB,PASS
136,11.6619,11.6602,0.001748,0.45 LSB,PASS
137,11.7047,11.7031,0.001575,0.40 LSB,PASS
138,11.7473,11.7461,0.001246,0.32 LSB,PASS
139,11.7898,11.7891,0.000764,0.20 LSB,PASS
140,11.8322,11.832,0.000128,0.03 LSB,PASS
141,11.8743,11.875,0.000658,0.17 LSB,PASS
142,11.9164,11.918,0.001593,0.41 LSB,PASS
143,11.9583,11.957,0.001229,0.31 LSB,PASS
144,12,12,0,0.00 LSB,PASS
145,12.0416,12.043,0.001374,0.35 LSB,PASS
146,12.083,12.082,0.001015,0.26 LSB,PASS
147,12.1244,12.125,0.000644,0.16 LSB,PASS
148,12.1655,12.1641,0.001463,0.37 LSB,PASS
149,12.2066,12.207,0.000476,0.12 LSB,PASS
150,12.2474,12.2461,0.001355,0.35 LSB,PASS
151,12.2882,12.2891,0.000857,0.22 LSB,PASS
152,12.3288,12.3281,0.000703,0.18 LSB,PASS
153,12.3693,12.3711,0.001777,0.45 LSB,PASS
154,12.4097,12.4102,0.000483,0.12 LSB,PASS
155,12.4499,12.4492,0.000681,0.17 LSB,PASS
156,12.49,12.4883,0.001715,0.44 LSB,PASS
157,12.53,12.5312,0.001286,0.33 LSB,PASS
158,12.5698,12.5703,0.000507,0.13 LSB,PASS
159,12.6095,12.6094,0.000145,0.04 LSB,PASS
160,12.6491,12.6484,0.000673,0.17 LSB,PASS
161,12.6886,12.6875,0.001078,0.28 LSB,PASS
162,12.7279,12.7266,0.00136,0.35 LSB,PASS
163,12.7671,12.7656,0.00152,0.39 LSB,PASS
164,12.8062,12.8047,0.001561,0.40 LSB,PASS
165,12.8452,12.8438,0.001483,0.38 LSB,PASS
166,12.8841,12.8828,0.001286,0.33 LSB,PASS
167,12.9228,12.9219,0.000973,0.25 LSB,PASS
168,12.9615,12.9609,0.000544,0.14 LSB,PASS
169,13,13,0,0.00 LSB,PASS
170,13.0384,13.0391,0.000658,0.17 LSB,PASS
171,13.0767,13.0781,0.001428,0.37 LSB,PASS
172,13.1149,13.1133,0.001596,0.41 LSB,PASS
173,13.1529,13.1523,0.000603,0.15 LSB,PASS
174,13.1909,13.1914,0.0005,0.13 LSB,PASS
175,13.2288,13.2305,0.001712,0.44 LSB,PASS
176,13.2665,13.2656,0.000874,0.22 LSB,PASS
177,13.3041,13.3047,0.000553,0.14 LSB,PASS
178,13.3417,13.3398,0.00182,0.47 LSB,PASS
179,13.3791,13.3789,0.000182,0.05 LSB,PASS
180,13.4164,13.418,0.001561,0.40 LSB,PASS
181,13.4536,13.4531,0.000499,0.13 LSB,PASS
182,13.4907,13.4922,0.00145,0.37 LSB,PASS
183,13.5277,13.5273,0.000406,0.10 LSB,PASS
184,13.5647,13.5664,0.001746,0.45 LSB,PASS
185,13.6015,13.6016,0.000092,0.02 LSB,PASS
186,13.6382,13.6367,0.001463,0.37 LSB,PASS
187,13.6748,13.6758,0.000987,0.25 LSB,PASS
188,13.7113,13.7109,0.000372,0.10 LSB,PASS
189,13.7477,13.7461,0.001633,0.42 LSB,PASS
190,13.784,13.7852,0.001107,0.28 LSB,PASS
191,13.8203,13.8203,0.000038,0.01 LSB,PASS
192,13.8564,13.8555,0.000938,0.24 LSB,PASS
193,13.8924,13.8906,0.001819,0.47 LSB,PASS
194,13.9284,13.9297,0.001299,0.33 LSB,PASS
195,13.9642,13.9648,0.000604,0.15 LSB,PASS
196,14,14,0,0.00 LSB,PASS
197,14.0357,14.0352,0.000513,0.13 LSB,PASS
198,14.0712,14.0703,0.000935,0.24 LSB,PASS
199,14.1067,14.1055,0.001267,0.32 LSB,PASS
200,14.1421,14.1406,0.001511,0.39 LSB,PASS
201,14.1774,14.1758,0.001666,0.43 LSB,PASS
202,14.2127,14.2109,0.001733,0.44 LSB,PASS
203,14.2478,14.2461,0.001713,0.44 LSB,PASS
204,14.2829,14.2812,0.001607,0.41 LSB,PASS
205,14.3178,14.3164,0.001415,0.36 LSB,PASS
206,14.3527,14.3516,0.001138,0.29 LSB,PASS
207,14.3875,14.3867,0.000776,0.20 LSB,PASS
208,14.4222,14.4219,0.00033,0.08 LSB,PASS
209,14.4568,14.457,0.000199,0.05 LSB,PASS
210,14.4914,14.4922,0.000811,0.21 LSB,PASS
211,14.5258,14.5273,0.001505,0.39 LSB,PASS
212,14.5602,14.5586,0.001626,0.42 LSB,PASS
213,14.5945,14.5938,0.00077,0.20 LSB,PASS
214,14.6287,14.6289,0.000167,0.04 LSB,PASS
215,14.6629,14.6641,0.001184,0.30 LSB,PASS
216,14.6969,14.6953,0.001626,0.42 LSB,PASS
217,14.7309,14.7305,0.000451,0.12 LSB,PASS
218,14.7648,14.7656,0.000802,0.21 LSB,PASS
219,14.7986,14.7969,0.001774,0.45 LSB,PASS
220,14.8324,14.832,0.000366,0.09 LSB,PASS
221,14.8661,14.8672,0.001119,0.29 LSB,PASS
222,14.8997,14.8984,0.001227,0.31 LSB,PASS
223,14.9332,14.9336,0.000409,0.10 LSB,PASS
224,14.9666,14.9648,0.001786,0.46 LSB,PASS
225,15,15,0,0.00 LSB,PASS
226,15.0333,15.0352,0.00186,0.48 LSB,PASS
227,15.0665,15.0664,0.000113,0.03 LSB,PASS
228,15.0997,15.1016,0.001894,0.48 LSB,PASS
229,15.1327,15.1328,0.000067,0.02 LSB,PASS
230,15.1658,15.1641,0.001688,0.43 LSB,PASS
231,15.1987,15.1992,0.000535,0.14 LSB,PASS
232,15.2315,15.2305,0.001077,0.28 LSB,PASS
233,15.2643,15.2656,0.001287,0.33 LSB,PASS
234,15.2971,15.2969,0.000184,0.05 LSB,PASS
235,15.3297,15.3281,0.001585,0.41 LSB,PASS
236,15.3623,15.3633,0.00099,0.25 LSB,PASS
237,15.3948,15.3945,0.000273,0.07 LSB,PASS
238,15.4272,15.4258,0.001467,0.38 LSB,PASS
239,15.4596,15.4609,0.001313,0.34 LSB,PASS
240,15.4919,15.4922,0.000254,0.07 LSB,PASS
241,15.5242,15.5234,0.000737,0.19 LSB,PASS
242,15.5563,15.5547,0.001662,0.43 LSB,PASS
243,15.5885,15.5898,0.001386,0.35 LSB,PASS
244,15.6205,15.6211,0.000594,0.15 LSB,PASS
245,15.6525,15.6523,0.000132,0.03 LSB,PASS
246,15.6844,15.6836,0.000793,0.20 LSB,PASS
247,15.7162,15.7148,0.00139,0.36 LSB,PASS
248,15.748,15.7461,0.001922,0.49 LSB,PASS
249,15.7797,15.7812,0.001516,0.39 LSB,PASS
250,15.8114,15.8125,0.001112,0.28 LSB,PASS
251,15.843,15.8438,0.00077,0.20 LSB,PASS
252,15.8745,15.875,0.000492,0.13 LSB,PASS
253,15.906,15.9062,0.000276,0.07 LSB,PASS
254,15.9374,15.9375,0.000123,0.03 LSB,PASS
255,15.9687,15.9688,0.000031,0.01 LSB,PASS
256,16,16,0,0.00 LSB,PASS
257,16.0312,16.0312,0.00003,0.01 LSB,PASS
258,16.0624,16.0625,0.000122,0.03 LSB,PASS
259,16.0935,16.0938,0.000273,0.07 LSB,PASS
260,16.1245,16.125,0.000485,0.12 LSB,PASS
261,16.1555,16.1562,0.000756,0.19 LSB,PASS
262,16.1864,16.1875,0.001086,0.28 LSB,PASS
263,16.2173,16.2188,0.001475,0.38 LSB,PASS
264,16.2481,16.25,0.001923,0.49 LSB,PASS
265,16.2788,16.2773,0.001477,0.38 LSB,PASS
266,16.3095,16.3086,0.000913,0.23 LSB,PASS
267,16.3401,16.3398,0.000291,0.07 LSB,PASS
268,16.3707,16.3711,0.000388,0.10 LSB,PASS
269,16.4012,16.4023,0.001124,0.29 LSB,PASS
270,16.4317,16.4336,0.001917,0.49 LSB,PASS
271,16.4621,16.4609,0.00114,0.29 LSB,PASS
272,16.4924,16.4922,0.000235,0.06 LSB,PASS
273,16.5227,16.5234,0.000726,0.19 LSB,PASS
274,16.5529,16.5547,0.001742,0.45 LSB,PASS
275,16.5831,16.582,0.001093,0.28 LSB,PASS
276,16.6132,16.6133,0.000034,0.01 LSB,PASS
277,16.6433,16.6445,0.001214,0.31 LSB,PASS
278,16.6733,16.6719,0.001457,0.37 LSB,PASS
279,16.7033,16.7031,0.000168,0.04 LSB,PASS
280,16.7332,16.7344,0.001174,0.30 LSB,PASS
281,16.7631,16.7617,0.001336,0.34 LSB,PASS
282,16.7929,16.793,0.000113,0.03 LSB,PASS
283,16.8226,16.8242,0.001615,0.41 LSB,PASS
284,16.8523,16.8516,0.000737,0.19 LSB,PASS
285,16.8819,16.8828,0.000869,0.22 LSB,PASS
286,16.9115,16.9102,0.001378,0.35 LSB,PASS
287,16.9411,16.9414,0.000332,0.08 LSB,PASS
288,16.9706,16.9688,0.001813,0.46 LSB,PASS
289,17,17,0,0.00 LSB,PASS
290,17.0294,17.0312,0.001864,0.48 LSB,PASS
291,17.0587,17.0586,0.000128,0.03 LSB,PASS
292,17.088,17.0898,0.001836,0.47 LSB,PASS
293,17.1172,17.1172,0.000055,0.01 LSB,PASS
294,17.1464,17.1445,0.001897,0.49 LSB,PASS
295,17.1756,17.1758,0.000217,0.06 LSB,PASS
296,17.2047,17.2031,0.001526,0.39 LSB,PASS
297,17.2337,17.2344,0.000687,0.18 LSB,PASS
298,17.2627,17.2617,0.000958,0.25 LSB,PASS
299,17.2916,17.293,0.001352,0.35 LSB,PASS
300,17.3205,17.3203,0.000196,0.05 LSB,PASS
301,17.3494,17.3477,0.001695,0.43 LSB,PASS
302,17.3781,17.3789,0.000759,0.19 LSB,PASS
303,17.4069,17.4062,0.000645,0.17 LSB,PASS
304,17.4356,17.4375,0.001904,0.49 LSB,PASS
305,17.4642,17.4648,0.000595,0.15 LSB,PASS
306,17.4929,17.4922,0.000668,0.17 LSB,PASS
307,17.5214,17.5195,0.001884,0.48 LSB,PASS
308,17.5499,17.5508,0.000852,0.22 LSB,PASS
309,17.5784,17.5781,0.000271,0.07 LSB,PASS
310,17.6068,17.6055,0.001348,0.35 LSB,PASS
311,17.6352,17.6367,0.001527,0.39 LSB,PASS
312,17.6635,17.6641,0.000541,0.14 LSB,PASS
313,17.6918,17.6914,0.0004,0.10 LSB,PASS
314,17.72,17.7188,0.001295,0.33 LSB,PASS
315,17.7482,17.75,0.001761,0.45 LSB,PASS
316,17.7764,17.7773,0.000955,0.24 LSB,PASS
317,17.8045,17.8047,0.000194,0.05 LSB,PASS
318,17.8326,17.832,0.000523,0.13 LSB,PASS
319,17.8606,17.8594,0.001196,0.31 LSB,PASS
320,17.8885,17.8867,0.001825,0.47 LSB,PASS
321,17.9165,17.918,0.001496,0.38 LSB,PASS
322,17.9444,17.9453,0.000954,0.24 LSB,PASS
323,17.9722,17.9727,0.000455,0.12 LSB,PASS
324,18,18,0,0.00 LSB,PASS
325,18.0278,18.0273,0.000413,0.11 LSB,PASS
326,18.0555,18.0547,0.000783,0.20 LSB,PASS
327,18.0831,18.082,0.00111,0.28 LSB,PASS
328,18.1108,18.1094,0.001395,0.36 LSB,PASS
329,18.1384,18.1367,0.001638,0.42 LSB,PASS
330,18.1659,18.1641,0.00184,0.47 LSB,PASS
331,18.1934,18.1953,0.001907,0.49 LSB,PASS
332,18.2209,18.2227,0.001789,0.46 LSB,PASS
333,18.2483,18.25,0.001712,0.44 LSB,PASS
334,18.2757,18.2773,0.001677,0.43 LSB,PASS
335,18.303,18.3047,0.001682,0.43 LSB,PASS
336,18.3303,18.332,0.001728,0.44 LSB,PASS
337,18.3576,18.3594,0.001815,0.46 LSB,PASS
338,18.3848,18.3867,0.001942,0.50 LSB,PASS
339,18.412,18.4102,0.001796,0.46 LSB,PASS
340,18.4391,18.4375,0.001589,0.41 LSB,PASS
341,18.4662,18.4648,0.001342,0.34 LSB,PASS
342,18.4932,18.4922,0.001055,0.27 LSB,PASS
343,18.5203,18.5195,0.000728,0.19 LSB,PASS
344,18.5472,18.5469,0.000362,0.09 LSB,PASS
345,18.5742,18.5742,0.000043,0.01 LSB,PASS
346,18.6011,18.6016,0.000487,0.12 LSB,PASS
347,18.6279,18.6289,0.00097,0.25 LSB,PASS
348,18.6548,18.6562,0.001492,0.38 LSB,PASS
349,18.6815,18.6797,0.001854,0.47 LSB,PASS
350,18.7083,18.707,0.001256,0.32 LSB,PASS
351,18.735,18.7344,0.000619,0.16 LSB,PASS
352,18.7617,18.7617,0.000056,0.01 LSB,PASS
353,18.7883,18.7891,0.000768,0.20 LSB,PASS
354,18.8149,18.8164,0.001519,0.39 LSB,PASS
355,18.8414,18.8398,0.0016,0.41 LSB,PASS
356,18.868,18.8672,0.000775,0.20 LSB,PASS
357,18.8944,18.8945,0.000088,0.02 LSB,PASS
358,18.9209,18.9219,0.000987,0.25 LSB,PASS
359,18.9473,18.9492,0.001923,0.49 LSB,PASS
360,18.9737,18.9727,0.00101,0.26 LSB,PASS
361,19,19,0,0.00 LSB,PASS
362,19.0263,19.0273,0.001046,0.27 LSB,PASS
363,19.0526,19.0508,0.001778,0.46 LSB,PASS
364,19.0788,19.0781,0.000659,0.17 LSB,PASS
365,19.105,19.1055,0.000496,0.13 LSB,PASS
366,19.1311,19.1328,0.001686,0.43 LSB,PASS
367,19.1572,19.1562,0.000994,0.25 LSB,PASS
368,19.1833,19.1836,0.000268,0.07 LSB,PASS
369,19.2094,19.2109,0.001565,0.40 LSB,PASS
370,19.2354,19.2344,0.001009,0.26 LSB,PASS
371,19.2614,19.2617,0.000358,0.09 LSB,PASS
372,19.2873,19.2891,0.001761,0.45 LSB,PASS
373,19.3132,19.3125,0.000708,0.18 LSB,PASS
374,19.3391,19.3398,0.000764,0.20 LSB,PASS
375,19.3649,19.3633,0.001635,0.42 LSB,PASS
376,19.3907,19.3906,0.000094,0.02 LSB,PASS
377,19.4165,19.418,0.001481,0.38 LSB,PASS
378,19.4422,19.4414,0.000816,0.21 LSB,PASS
379,19.4679,19.4688,0.000828,0.21 LSB,PASS
380,19.4936,19.4922,0.001401,0.36 LSB,PASS
381,19.5192,19.5195,0.00031,0.08 LSB,PASS
382,19.5448,19.543,0.001852,0.47 LSB,PASS
383,19.5704,19.5703,0.000073,0.02 LSB,PASS
384,19.5959,19.5977,0.001738,0.45 LSB,PASS
385,19.6214,19.6211,0.000323,0.08 LSB,PASS
386,19.6469,19.6484,0.001555,0.40 LSB,PASS
387,19.6723,19.6719,0.000441,0.11 LSB,PASS
388,19.6977,19.6992,0.001503,0.38 LSB,PASS
389,19.7231,19.7227,0.000427,0.11 LSB,PASS
390,19.7484,19.75,0.001582,0.41 LSB,PASS
391,19.7737,19.7734,0.000282,0.07 LSB,PASS
392,19.799,19.8008,0.001791,0.46 LSB,PASS
393,19.8242,19.8242,0.000009,0.00 LSB,PASS
394,19.8494,19.8477,0.001777,0.45 LSB,PASS
395,19.8746,19.875,0.000393,0.10 LSB,PASS
396,19.8997,19.8984,0.001311,0.34 LSB,PASS
397,19.9249,19.9258,0.000922,0.24 LSB,PASS
398,19.9499,19.9492,0.000719,0.18 LSB,PASS
399,19.975,19.9766,0.001578,0.40 LSB,PASS
400,20,20,0,0.00 LSB,PASS
401,20.025,20.0234,0.001547,0.40 LSB,PASS
402,20.0499,20.0508,0.000844,0.22 LSB,PASS
403,20.0749,20.0742,0.000641,0.16 LSB,PASS
404,20.0998,20.1016,0.001811,0.46 LSB,PASS
405,20.1246,20.125,0.000388,0.10 LSB,PASS
406,20.1494,20.1484,0.001004,0.26 LSB,PASS
407,20.1742,20.1758,0.00154,0.39 LSB,PASS
408,20.199,20.1992,0.000209,0.05 LSB,PASS
409,20.2237,20.2227,0.001092,0.28 LSB,PASS
410,20.2485,20.25,0.001543,0.40 LSB,PASS
411,20.2731,20.2734,0.000303,0.08 LSB,PASS
412,20.2978,20.2969,0.000908,0.23 LSB,PASS
413,20.3224,20.3242,0.001817,0.47 LSB,PASS
414,20.347,20.3477,0.000666,0.17 LSB,PASS
415,20.3715,20.3711,0.000455,0.12 LSB,PASS
416,20.3961,20.3945,0.001547,0.40 LSB,PASS
417,20.4206,20.4219,0.001297,0.33 LSB,PASS
418,20.445,20.4453,0.000264,0.07 LSB,PASS
419,20.4695,20.4688,0.000739,0.19 LSB,PASS
420,20.4939,20.4922,0.001714,0.44 LSB,PASS
421,20.5183,20.5195,0.001247,0.32 LSB,PASS
422,20.5426,20.543,0.00033,0.08 LSB,PASS
423,20.567,20.5664,0.000558,0.14 LSB,PASS
424,20.5913,20.5898,0.001417,0.36 LSB,PASS
425,20.6155,20.6172,0.001659,0.42 LSB,PASS
426,20.6398,20.6406,0.000858,0.22 LSB,PASS
427,20.664,20.6641,0.000084,0.02 LSB,PASS
428,20.6882,20.6875,0.000661,0.17 LSB,PASS
429,20.7123,20.7109,0.001378,0.35 LSB,PASS
430,20.7364,20.7383,0.00184,0.47 LSB,PASS
431,20.7605,20.7617,0.001179,0.30 LSB,PASS
432,20.7846,20.7852,0.000547,0.14 LSB,PASS
433,20.8087,20.8086,0.000058,0.01 LSB,PASS
434,20.8327,20.832,0.000635,0.16 LSB,PASS
435,20.8567,20.8555,0.001185,0.30 LSB,PASS
436,20.8806,20.8789,0.001707,0.44 LSB,PASS
437,20.9045,20.9062,0.001705,0.44 LSB,PASS
438,20.9284,20.9297,0.001238,0.32 LSB,PASS
439,20.9523,20.9531,0.000798,0.20 LSB,PASS
440,20.9762,20.9766,0.000386,0.10 LSB,PASS
441,21,21,0,0.00 LSB,PASS
442,21.0238,21.0234,0.000359,0.09 LSB,PASS
443,21.0476,21.0469,0.00069,0.18 LSB,PASS
444,21.0713,21.0703,0.000995,0.25 LSB,PASS
445,21.095,21.0938,0.001273,0.33 LSB,PASS
446,21.1187,21.1172,0.001525,0.39 LSB,PASS
447,21.1424,21.1406,0.00175,0.45 LSB,PASS
448,21.166,21.1641,0.001948,0.50 LSB,PASS
449,21.1896,21.1914,0.001786,0.46 LSB,PASS
450,21.2132,21.2148,0.00164,0.42 LSB,PASS
451,21.2368,21.2383,0.001521,0.39 LSB,PASS
452,21.2603,21.2617,0.001427,0.37 LSB,PASS
453,21.2838,21.2852,0.00136,0.35 LSB,PASS
454,21.3073,21.3086,0.001318,0.34 LSB,PASS
455,21.3307,21.332,0.001302,0.33 LSB,PASS
456,21.3542,21.3555,0.001312,0.34 LSB,PASS
457,21.3776,21.3789,0.001348,0.35 LSB,PASS
458,21.4009,21.4023,0.001409,0.36 LSB,PASS
459,21.4243,21.4258,0.001496,0.38 LSB,PASS
460,21.4476,21.4492,0.001608,0.41 LSB,PASS
461,21.4709,21.4727,0.001746,0.45 LSB,PASS
462,21.4942,21.4961,0.001908,0.49 LSB,PASS
463,21.5174,21.5156,0.00181,0.46 LSB,PASS
464,21.5407,21.5391,0.001597,0.41 LSB,PASS
465,21.5639,21.5625,0.001359,0.35 LSB,PASS
466,21.587,21.5859,0.001096,0.28 LSB,PASS
467,21.6102,21.6094,0.000808,0.21 LSB,PASS
468,21.6333,21.6328,0.000495,0.13 LSB,PASS
469,21.6564,21.6562,0.000158,0.04 LSB,PASS
470,21.6795,21.6797,0.000204,0.05 LSB,PASS
471,21.7025,21.7031,0.000591,0.15 LSB,PASS
472,21.7256,21.7266,0.001002,0.26 LSB,PASS
473,21.7486,21.75,0.001437,0.37 LSB,PASS
474,21.7715,21.7734,0.001896,0.49 LSB,PASS
475,21.7945,21.793,0.001526,0.39 LSB,PASS
476,21.8174,21.8164,0.001018,0.26 LSB,PASS
477,21.8403,21.8398,0.000486,0.12 LSB,PASS
478,21.8632,21.8633,0.00007,0.02 LSB,PASS
479,21.8861,21.8867,0.00065,0.17 LSB,PASS
480,21.9089,21.9102,0.001254,0.32 LSB,PASS
481,21.9317,21.9336,0.001882,0.48 LSB,PASS
482,21.9545,21.9531,0.001373,0.35 LSB,PASS
483,21.9773,21.9766,0.000698,0.18 LSB,PASS
484,22,22,0,0.00 LSB,PASS
485,22.0227,22.0234,0.000722,0.18 LSB,PASS
486,22.0454,22.0469,0.001467,0.38 LSB,PASS
487,22.0681,22.0664,0.00167,0.43 LSB,PASS
488,22.0907,22.0898,0.000878,0.22 LSB,PASS
489,22.1133,22.1133,0.000063,0.02 LSB,PASS
490,22.1359,22.1367,0.000775,0.20 LSB,PASS
491,22.1585,22.1602,0.001636,0.42 LSB,PASS
